,index,1. open,2. high,3. low,4. close,5. adjusted close,8. split coefficient,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM,Labels,Price Diffs
7,2018-07-18,191.78,191.8,189.93,190.4,190.4,1.0,0.4249,1.1334,0.7085,55.8753,-23.1006,15.9417,6.48,1,0.58
8,2018-07-17,189.75,191.87,189.2,191.45,191.45,1.0,0.5238,1.1261,0.6023,58.9922,-12.3203,16.2467,4.27,1,2.76
9,2018-07-16,191.52,192.65,190.415,190.91,190.91,1.0,0.5222,0.9936,0.4713,57.8699,-17.2107,16.5751,5.8,1,3.91
10,2018-07-13,191.08,191.84,190.9,191.33,191.33,1.0,0.5242,0.8649,0.3408,59.0368,-4.5905,16.2642,5.83,1,1.67
11,2018-07-12,189.53,191.41,189.31,191.03,191.03,1.0,0.4356,0.6454,0.2097,58.4815,-3.5581,16.2357,6.87,1,0.58
12,2018-07-11,188.5,189.7799,187.61,187.88,187.88,1.0,0.2855,0.3863,0.1008,52.1583,-32.2275,16.3675,3.45,1,3.56
13,2018-07-10,190.71,191.28,190.1801,190.35,190.35,1.0,0.3413,0.3708,0.0295,58.6636,-8.8152,17.1538,8.18,1,1.53
14,2018-07-09,189.5,190.68,189.3,190.58,190.58,1.0,0.1499,0.094,-0.0558,59.3031,-1.005,16.6331,5.66,0,-0.18
15,2018-07-06,185.42,188.434,185.2,187.97,187.97,1.0,-0.1907,-0.284,-0.0933,54.0213,-14.7232,16.2928,2.51,1,3.48
16,2018-07-05,185.26,186.41,184.28,185.4,185.4,1.0,-0.451,-0.4966,-0.0456,47.8306,-50.4772,16.8413,-1.1,1,5.51
17,2018-07-03,187.79,187.95,183.54,183.92,183.92,1.0,-0.5662,-0.4991,0.0671,43.783,-70.572,17.8334,-1.77,1,7.41
18,2018-07-02,183.82,187.3,183.42,187.18,187.18,1.0,-0.5529,-0.3443,0.2086,52.0416,-46.9136,18.9019,-1.56,1,3.85
19,2018-06-29,186.29,187.19,182.91,185.11,185.11,1.0,-0.8205,-0.4736,0.3469,46.0404,-63.9506,19.7197,-3.73,1,2.77
20,2018-06-28,184.1,186.21,183.8,185.5,185.5,1.0,-0.973,-0.421,0.552,47.0709,-60.7407,20.5457,-5.3,1,4.85
21,2018-06-27,185.2278,187.28,184.03,184.16,184.16,1.0,-1.1827,-0.3875,0.7952,43.0007,-71.7695,20.9524,-6.54,1,6.42
